                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.7252,                0.67806,                0.13185,                0.52767,                0.55618,                0.49599,                0.21439,                0.67478,                0.70916,                0.14072,              0.0002195,              0.0002195,              0.0002195
                     37,                0.71497,                0.67229,                0.13227,                0.53106,                0.54061,                0.50209,                0.21486,                0.66483,                0.71401,                0.13746,             0.00021125,             0.00021125,             0.00021125
                     38,                0.71301,                0.66977,                 0.1267,                0.52516,                0.53556,                0.49837,                0.21571,                0.66707,                0.71335,                0.14018,               0.000203,               0.000203,               0.000203
                     39,                 0.6977,                0.67311,                0.12463,                0.53529,                0.54095,                0.50922,                0.21972,                0.66042,                0.71903,                0.13815,             0.00019475,             0.00019475,             0.00019475
                     40,                0.69204,                0.67089,                0.12282,                 0.5446,                0.53448,                0.51211,                0.22212,                0.66366,                0.71273,                0.13826,              0.0001865,              0.0001865,              0.0001865
                     41,                0.69609,                0.67895,                0.12487,                0.55477,                0.52047,                0.51112,                0.22053,                0.66383,                0.71741,                0.13635,             0.00017825,             0.00017825,             0.00017825
                     42,                  0.694,                0.67564,                0.12561,                 0.5432,                0.53341,                0.50835,                0.22059,                0.66369,                0.71592,                0.13874,                0.00017,                0.00017,                0.00017
                     43,                0.70233,                0.66423,                0.12999,                0.53948,                0.54418,                0.51494,                0.22292,                0.66043,                0.71227,                0.13478,             0.00016175,             0.00016175,             0.00016175
                     44,                0.69667,                0.66635,                 0.1237,                0.54602,                0.54175,                 0.5187,                0.22417,                0.66725,                0.70891,                0.13699,              0.0001535,              0.0001535,              0.0001535
                     45,                0.69279,                0.66465,                0.12464,                 0.5344,                0.55603,                0.51515,                0.22626,                0.66125,                0.71117,                0.13682,             0.00014525,             0.00014525,             0.00014525
